               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.021311,            0.011327,                   0,             0.88367,             0.90132,             0.93058,             0.70645,            0.022568,             0.01183,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.020877,            0.013205,                   0,             0.89827,               0.875,             0.91211,             0.68607,            0.022919,            0.012585,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.020518,            0.011701,                   0,             0.94853,             0.84863,             0.92467,             0.71623,            0.022942,            0.013122,                   0,            0.008682,            0.008682,            0.008682
                  77,            0.020072,            0.011482,                   0,             0.93617,             0.86838,             0.92016,             0.71542,            0.021918,            0.011605,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.020044,            0.011472,                   0,             0.93093,             0.88816,             0.90294,              0.7028,            0.021736,            0.011393,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.019579,            0.012588,                   0,             0.92921,             0.86842,             0.93154,             0.69066,            0.022917,             0.01144,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.019659,             0.01249,                   0,             0.92853,             0.85526,             0.93462,             0.71478,            0.022878,            0.010886,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,             0.02021,            0.012413,                   0,             0.92662,             0.91447,             0.94779,             0.72324,            0.022561,            0.010089,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.020514,            0.011514,                   0,             0.93517,             0.85526,             0.94108,             0.72714,            0.022138,            0.010974,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,            0.020129,             0.01121,                   0,             0.92826,             0.85526,             0.92617,             0.70382,            0.022307,            0.012082,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.020104,            0.012273,                   0,              0.9006,             0.89474,             0.93022,             0.72648,            0.021048,            0.011158,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,            0.018959,            0.010871,                   0,             0.94925,             0.86139,             0.92883,             0.71659,            0.021238,            0.012343,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.019432,            0.011826,                   0,             0.93287,             0.91422,             0.93156,             0.70801,            0.021629,             0.01229,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.020532,            0.011756,                   0,             0.90849,             0.91437,              0.9343,             0.70726,            0.020986,            0.010457,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.018871,            0.010823,                   0,             0.94928,             0.86184,              0.9397,             0.72872,            0.021521,            0.011331,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.020002,            0.012206,                   0,             0.96323,             0.86178,             0.94433,             0.72259,            0.021551,            0.011402,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.019653,            0.011399,                   0,             0.92947,             0.86842,             0.93576,             0.71473,            0.021506,            0.011432,                   0,            0.008183,            0.008183,            0.008183
                  91,            0.018904,            0.011183,                   0,             0.90062,             0.89474,             0.92781,              0.7192,            0.021097,            0.011472,                   0,            0.008145,            0.008145,            0.008145
                  92,            0.019976,            0.011868,                   0,             0.93002,             0.87439,             0.93395,             0.72143,            0.021136,            0.010656,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,            0.019572,             0.01129,                   0,             0.94245,             0.86184,             0.93452,             0.71071,            0.021367,            0.011398,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,            0.018999,            0.010702,                   0,             0.96266,             0.84807,              0.9431,             0.72538,            0.021883,            0.012034,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,             0.01926,            0.010129,                   0,             0.93602,             0.86842,             0.93563,             0.72569,            0.021846,            0.011394,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,            0.019794,             0.01221,                   0,             0.92516,             0.89465,             0.94704,             0.73875,            0.022123,            0.010666,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,            0.019096,            0.011106,                   0,             0.91778,             0.88158,             0.94074,             0.71236,            0.022377,            0.010763,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.019057,             0.01026,                   0,             0.93149,             0.89448,             0.94506,             0.72744,             0.02191,            0.010944,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,            0.018822,              0.0119,                   0,             0.94912,             0.86184,             0.94905,             0.71973,            0.022002,            0.011167,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,            0.019083,            0.010626,                   0,             0.92307,             0.86839,             0.93346,             0.71807,            0.022098,            0.011948,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,            0.019186,            0.010495,                   0,             0.90465,               0.875,             0.93974,             0.72344,            0.021459,            0.011913,                   0,             0.00775,             0.00775,             0.00775
                 102,            0.018784,            0.010761,                   0,              0.9178,             0.88158,             0.95277,             0.72043,            0.021525,            0.011149,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,            0.018758,            0.010699,                   0,             0.93769,             0.90789,             0.96187,              0.7456,            0.020906,            0.010547,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,            0.018628,           0.0097934,                   0,             0.93197,             0.90124,             0.94054,             0.71337,            0.021394,            0.011515,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.018226,           0.0098353,                   0,             0.93001,               0.875,             0.94369,              0.7247,            0.021898,            0.012115,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,            0.019225,            0.011606,                   0,             0.91892,              0.8947,              0.9502,             0.72111,            0.021706,            0.011527,                   0,            0.007543,            0.007543,            0.007543
                 107,            0.019289,            0.011668,                   0,             0.87754,             0.84862,             0.94113,             0.69881,            0.021561,            0.012668,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,             0.01852,            0.012392,                   0,             0.87171,             0.89474,             0.95184,             0.72567,            0.021062,            0.011243,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,            0.019246,            0.010957,                   0,             0.95454,              0.8288,             0.94893,              0.7145,             0.02169,            0.011943,                   0,            0.007416,            0.007416,            0.007416
                 110,            0.017975,            0.010732,                   0,             0.91446,             0.91434,             0.94882,             0.72918,            0.021358,             0.01019,                   0,           0.0073733,           0.0073733,           0.0073733
                 111,            0.017939,            0.010185,                   0,             0.95574,             0.86184,             0.95344,             0.72331,            0.022013,            0.010809,                   0,           0.0073303,           0.0073303,           0.0073303
